toolmode,project,model,category,accuracy,precision,recall,f1_score,count
NNet&NCir,fan_controller,llama-3.3-70b-instruct,component_datasheet,0.5,0.6,0.5824,0.4949,20
NNet&NCir,fan_controller,llama-3.3-70b-instruct,spice_behaviour,0.5,0.25,0.5,0.3333,20
NNet&NCir,fan_controller,llama-3.3-70b-instruct,theory_layout,0.7,0.7,0.8125,0.6703,20
NNet&NCir,fan_controller,llama-3.3-70b-instruct,ALL,0.5667,0.6889,0.6557,0.5623,60
NNet&NCir,stack-chan,claude-sonnet-4.6,component_datasheet,0.95,0.9643,0.9286,0.943,20
NNet&NCir,stack-chan,claude-sonnet-4.6,spice_behaviour,0.65,0.3421,0.4643,0.3939,20
NNet&NCir,stack-chan,claude-sonnet-4.6,theory_layout,0.95,0.9167,0.9667,0.9373,20
NNet&NCir,stack-chan,claude-sonnet-4.6,ALL,0.85,0.8736,0.8415,0.8448,60
NNet&NCir,stack-chan,gemini-3-flash-preview,component_datasheet,0.9,0.9333,0.8571,0.881,20
NNet&NCir,stack-chan,gemini-3-flash-preview,spice_behaviour,0.7,0.35,0.5,0.4118,20
NNet&NCir,stack-chan,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,stack-chan,gemini-3-flash-preview,ALL,0.8667,0.9,0.8571,0.8611,60
NNet&NCir,stack-chan,gpt-5.4-nano,component_datasheet,0.75,0.8611,0.6429,0.6416,20
NNet&NCir,stack-chan,gpt-5.4-nano,spice_behaviour,0.7,0.35,0.5,0.4118,20
NNet&NCir,stack-chan,gpt-5.4-nano,theory_layout,0.55,0.6786,0.7,0.5489,20
NNet&NCir,stack-chan,gpt-5.4-nano,ALL,0.6667,0.8077,0.6429,0.6032,60
NNet&NCir,stack-chan,llama-3.3-70b-instruct,component_datasheet,0.75,0.8611,0.6429,0.6416,20
NNet&NCir,stack-chan,llama-3.3-70b-instruct,spice_behaviour,0.7,0.35,0.5,0.4118,20
NNet&NCir,stack-chan,llama-3.3-70b-instruct,theory_layout,0.7,0.6768,0.7333,0.6703,20
NNet&NCir,stack-chan,llama-3.3-70b-instruct,ALL,0.7167,0.7913,0.6987,0.6851,60
NNet&PCir,AcornRobotElectronics,claude-sonnet-4.6,component_datasheet,0.75,0.8333,0.75,0.7333,4
NNet&PCir,AcornRobotElectronics,claude-sonnet-4.6,spice_behaviour,0.8333,0.75,0.9,0.7778,6
NNet&PCir,AcornRobotElectronics,claude-sonnet-4.6,theory_layout,0.8,0.75,0.875,0.7619,5
NNet&PCir,AcornRobotElectronics,claude-sonnet-4.6,ALL,0.8,0.75,0.7841,0.7619,15
NNet&PCir,AcornRobotElectronics,gemini-3-flash-preview,component_datasheet,0.5,0.5,0.5,0.5,4
NNet&PCir,AcornRobotElectronics,gemini-3-flash-preview,spice_behaviour,0.6667,0.6667,0.8,0.625,6
NNet&PCir,AcornRobotElectronics,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,5
NNet&PCir,AcornRobotElectronics,gemini-3-flash-preview,ALL,0.7333,0.6944,0.7386,0.7,15
NNet&PCir,AcornRobotElectronics,gpt-5.4-nano,component_datasheet,0.75,0.8333,0.75,0.7333,4
NNet&PCir,AcornRobotElectronics,gpt-5.4-nano,spice_behaviour,0.8333,0.75,0.9,0.7778,6
NNet&PCir,AcornRobotElectronics,gpt-5.4-nano,theory_layout,0.2,0.1,0.5,0.1667,5
NNet&PCir,AcornRobotElectronics,gpt-5.4-nano,ALL,0.6,0.6161,0.6477,0.5833,15
NNet&PCir,CF-Chef,claude-sonnet-4.6,component_datasheet,0.5,0.625,0.7,0.4857,6
NNet&PCir,CF-Chef,claude-sonnet-4.6,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,CF-Chef,claude-sonnet-4.6,theory_layout,1.0,1.0,1.0,1.0,4
NNet&PCir,CF-Chef,claude-sonnet-4.6,ALL,0.8,0.8333,0.8333,0.8,15
NNet&PCir,CF-Chef,gemini-3-flash-preview,component_datasheet,0.8333,0.75,0.9,0.7778,6
NNet&PCir,CF-Chef,gemini-3-flash-preview,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,CF-Chef,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,4
NNet&PCir,CF-Chef,gemini-3-flash-preview,ALL,0.9333,0.9286,0.9444,0.9321,15
NNet&PCir,CF-Chef,gpt-5.4-nano,component_datasheet,0.6667,0.6667,0.8,0.625,6
NNet&PCir,CF-Chef,gpt-5.4-nano,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,CF-Chef,gpt-5.4-nano,theory_layout,0.75,0.375,0.5,0.4286,4
NNet&PCir,CF-Chef,gpt-5.4-nano,ALL,0.8,0.8333,0.8333,0.8,15
NNet&PCir,CF-Chef,llama-3.3-70b-instruct,component_datasheet,0.5,0.625,0.7,0.4857,6
NNet&PCir,CF-Chef,llama-3.3-70b-instruct,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,CF-Chef,llama-3.3-70b-instruct,theory_layout,0.75,0.375,0.5,0.4286,4
NNet&PCir,CF-Chef,llama-3.3-70b-instruct,ALL,0.7333,0.8,0.7778,0.7321,15
NNet&PCir,HadesFCS,claude-sonnet-4.6,component_datasheet,0.8333,0.9,0.75,0.7778,6
NNet&PCir,HadesFCS,claude-sonnet-4.6,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,HadesFCS,claude-sonnet-4.6,theory_layout,1.0,1.0,1.0,1.0,4
NNet&PCir,HadesFCS,claude-sonnet-4.6,ALL,0.9333,0.9444,0.9286,0.9321,15
NNet&PCir,HadesFCS,gemini-3-flash-preview,component_datasheet,0.6667,0.3333,0.5,0.4,6
NNet&PCir,HadesFCS,gemini-3-flash-preview,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,HadesFCS,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,4
NNet&PCir,HadesFCS,gemini-3-flash-preview,ALL,0.8667,0.9,0.8571,0.8611,15
NNet&PCir,HadesFCS,gpt-5.4-nano,component_datasheet,0.8333,0.9,0.75,0.7778,6
NNet&PCir,HadesFCS,gpt-5.4-nano,spice_behaviour,1.0,1.0,1.0,1.0,5
NNet&PCir,HadesFCS,gpt-5.4-nano,theory_layout,0.25,0.125,0.5,0.2,4
NNet&PCir,HadesFCS,gpt-5.4-nano,ALL,0.7333,0.8333,0.7143,0.7,15
NNet&PCir,HadesFCS,llama-3.3-70b-instruct,component_datasheet,0.8333,0.8333,0.875,0.8286,6
NNet&PCir,HadesFCS,llama-3.3-70b-instruct,spice_behaviour,0.8,0.875,0.75,0.7619,5
NNet&PCir,HadesFCS,llama-3.3-70b-instruct,theory_layout,0.5,0.6667,0.6667,0.5,4
NNet&PCir,HadesFCS,llama-3.3-70b-instruct,ALL,0.7333,0.75,0.7232,0.7222,15
NNet&PCir,Meshinger,claude-sonnet-4.6,component_datasheet,1.0,1.0,1.0,1.0,5
NNet&PCir,Meshinger,claude-sonnet-4.6,spice_behaviour,0.2,0.5,0.1,0.1667,5
NNet&PCir,Meshinger,claude-sonnet-4.6,theory_layout,0.8,0.75,0.875,0.7619,5
NNet&PCir,Meshinger,claude-sonnet-4.6,ALL,0.6667,0.6429,0.8077,0.6032,15
NNet&PCir,Meshinger,gemini-3-flash-preview,component_datasheet,0.8,0.75,0.875,0.7619,5
NNet&PCir,Meshinger,gemini-3-flash-preview,spice_behaviour,0.4,0.5,0.2,0.2857,5
NNet&PCir,Meshinger,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,5
NNet&PCir,Meshinger,gemini-3-flash-preview,ALL,0.7333,0.6667,0.8462,0.6591,15
NNet&PCir,Meshinger,gpt-5.4-nano,component_datasheet,0.8,0.75,0.875,0.7619,5
NNet&PCir,Meshinger,gpt-5.4-nano,spice_behaviour,0.4,0.5,0.2,0.2857,5
NNet&PCir,Meshinger,gpt-5.4-nano,theory_layout,0.2,0.1,0.5,0.1667,5
NNet&PCir,Meshinger,gpt-5.4-nano,ALL,0.4667,0.6,0.6923,0.4444,15
NNet&PCir,Meshinger,llama-3.3-70b-instruct,component_datasheet,1.0,1.0,1.0,1.0,5
NNet&PCir,Meshinger,llama-3.3-70b-instruct,spice_behaviour,0.4,0.5,0.2,0.2857,5
NNet&PCir,Meshinger,llama-3.3-70b-instruct,theory_layout,0.8,0.75,0.875,0.7619,5
